date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:30:23	278034/278034	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202022%2012:30:23%20GMT	https://thebestschools.org/degrees/marijuana-degrees/	C:/My%20Web%20Sites/thebestschools/thebestschools.org/degrees/marijuana-degrees/index.html	(from https://thebestschools.org/sitemap/)
14:30:23	74194/74194	---M-Z	200	added ('OK')	application/json	date:Sun,%2025%20Dec%202022%2012:30:23%20GMT	https://thebestschools.org/wp-json/wp/v2/posts/1497	C:/My%20Web%20Sites/thebestschools/thebestschools.org/wp-json/wp/v2/posts/1497.json	(from https://thebestschools.org/rankings/certificates/best-online-certificates-sonography-ultrasound/)
14:30:23	397557/397557	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202022%2012:30:23%20GMT	https://thebestschools.org/rankings/bachelors/affordable/online-bachelors-health-sciences/	C:/My%20Web%20Sites/thebestschools/thebestschools.org/rankings/bachelors/affordable/online-bachelors-health-sciences/index.html	(from https://thebestschools.org/sitemap/)
14:30:24	323577/323577	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202022%2012:30:23%20GMT	https://thebestschools.org/rankings/by-state/	C:/My%20Web%20Sites/thebestschools/thebestschools.org/rankings/by-state/index.html	(from https://thebestschools.org/sitemap/)
14:30:24	2779/2779	---M-Z	200	added ('OK')	application/json	date:Sun,%2025%20Dec%202022%2012:30:24%20GMT	https://thebestschools.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthebestschools.org%2Frankings%2Fcertificates%2Fbest-online-certificates-sonography-ultrasound%2F	C:/My%20Web%20Sites/thebestschools/thebestschools.org/wp-json/oembed/1.0/embedcd9c.json	(from https://thebestschools.org/rankings/certificates/best-online-certificates-sonography-ultrasound/)
14:30:24	260257/260257	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202022%2012:30:24%20GMT	https://thebestschools.org/online-colleges/florida-international-university-online/	C:/My%20Web%20Sites/thebestschools/thebestschools.org/online-colleges/florida-international-university-online/index.html	(from https://thebestschools.org/sitemap/)
14:30:24	271797/271797	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202022%2012:30:24%20GMT	https://thebestschools.org/resources/college-finances/best-laptops-for-students/	C:/My%20Web%20Sites/thebestschools/thebestschools.org/resources/college-finances/best-laptops-for-students/index.html	(from https://thebestschools.org/sitemap/)
14:30:24	252968/252968	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202022%2012:30:24%20GMT	https://thebestschools.org/online-colleges/kennesaw-state-university-online/	C:/My%20Web%20Sites/thebestschools/thebestschools.org/online-colleges/kennesaw-state-university-online/index.html	(from https://thebestschools.org/sitemap/)
14:30:24	292479/292479	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202022%2012:30:24%20GMT	https://thebestschools.org/degrees/mba/	C:/My%20Web%20Sites/thebestschools/thebestschools.org/degrees/mba/index.html	(from https://thebestschools.org/sitemap/)
14:30:25	2904/2904	---M-Z	200	added ('OK')	text/xml	date:Sun,%2025%20Dec%202022%2012:30:24%20GMT	https://thebestschools.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthebestschools.org%2Frankings%2Fcertificates%2Fbest-online-certificates-sonography-ultrasound%2F&format=xml	C:/My%20Web%20Sites/thebestschools/thebestschools.org/wp-json/oembed/1.0/embed4851	(from https://thebestschools.org/rankings/certificates/best-online-certificates-sonography-ultrasound/)
